,Feature,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC
0,Unnamed: 0,0.5,0.5,0.5,0.5,0.5,0.5277777777777778
1,F3_Mean,0.5,0.5,0.0,0.0,0.0,0.5
2,F4_Mean,0.5,0.5,0.0,0.0,0.0,0.5
3,F7_Mean,0.5,0.5,0.0,0.0,0.0,0.5
4,F8_Mean,0.5,0.5,0.0,0.0,0.0,0.5
5,Fz_Mean,0.5,0.5,0.0,0.0,0.0,0.5
6,F3_Median,0.5,0.5,0.0,0.0,0.0,0.5
7,F4_Median,0.5,0.5,0.0,0.0,0.0,0.5
8,F7_Median,0.5,0.5,0.0,0.0,0.0,0.5
9,F8_Median,0.5,0.5,0.0,0.0,0.0,0.5
10,Fz_Median,0.5,0.5,0.0,0.0,0.0,0.5
11,F3_Q75,0.5,0.5,0.0,0.0,0.0,0.5
12,F4_Q75,0.5,0.5,0.0,0.0,0.0,0.5
13,F7_Q75,0.5,0.5,0.0,0.0,0.0,0.5
14,F8_Q75,0.5,0.5,0.0,0.0,0.0,0.5
15,Fz_Q75,0.5,0.5,0.0,0.0,0.0,0.5
16,Frontal_Mean,0.5,0.5,0.0,0.0,0.0,0.5
17,Frontal_Median,0.5,0.5,0.0,0.0,0.0,0.5
18,Frontal_Q75,0.5,0.5,0.0,0.0,0.0,0.5
