,Sample,Condition,F3_Mean,F4_Mean,F7_Mean,F8_Mean,Fz_Mean,F3_Median,F4_Median,F7_Median,F8_Median,Fz_Median,F3_Q75,F4_Q75,F7_Q75,F8_Q75,Fz_Q75,Frontal_Mean,Frontal_Median,Frontal_Q75
0,1,1-back,3.8096193567985604e-08,3.560463251269509e-08,6.277814743721859e-08,3.971018318543286e-08,3.854805399036679e-08,2.9991314612274955e-08,2.6047537841350343e-08,3.0858803236422975e-08,1.7452561997411775e-08,2.9309317482736686e-08,5.2333452369524385e-08,4.8161504236326334e-08,1.0058634206209253e-07,6.279668094828145e-08,5.140302635375159e-08,4.2947442138739784e-08,2.6731907034039347e-08,6.305620119399526e-08
1,1,2-back,5.8082957185341795e-08,4.568429190656969e-08,9.888259237486538e-08,5.4212568220031385e-08,5.092806920335308e-08,4.307469813306066e-08,3.279450271386322e-08,8.602609835086692e-08,4.2700292827758487e-08,3.727202830732919e-08,7.759301251146461e-08,6.511012806198091e-08,1.288133338422952e-07,7.856222866473219e-08,7.18448469707317e-08,6.155809577803227e-08,4.837352406657569e-08,8.438471001024092e-08
2,1,3-back,5.752784045587741e-08,4.748790742628206e-08,8.220711629635699e-08,5.805668612992611e-08,5.2752945338584865e-08,5.0109099314394136e-08,3.7256370869986976e-08,6.781343115507295e-08,4.326444279539902e-08,5.0908372577183776e-08,8.1464719530921e-08,6.121584455634694e-08,1.2153761262157526e-07,7.924434830255306e-08,7.02096727989396e-08,5.960649912940548e-08,4.987034334240737e-08,8.273443956206717e-08
3,1,4-back,8.221386684107397e-08,6.718694674308061e-08,1.1992003427455077e-07,8.373162397071034e-08,7.297687107732971e-08,7.59638825426222e-08,5.7898659056562705e-08,1.0534836416806793e-07,7.463784825329863e-08,6.626847128921617e-08,1.0858196216014507e-07,1.0040983550356407e-07,1.6212921872531294e-07,1.2376718513978858e-07,9.322446068307052e-08,8.520586858134907e-08,7.602344506195352e-08,1.1762253244237623e-07
4,2,1-back,3.446821788795976e-08,2.914300651924009e-08,4.515963125070432e-08,3.297864455651846e-08,3.170722899445425e-08,2.419122402136547e-08,1.918190305599125e-08,1.8649692817046266e-08,1.5993425099856052e-08,2.040348478518549e-08,4.851145378214844e-08,4.0725087817566286e-08,7.564000127144395e-08,5.154834475376565e-08,4.9018706737184834e-08,3.469134584177538e-08,1.968394595588891e-08,5.3088718872421836e-08
5,2,2-back,5.402579444755094e-08,4.288346188254347e-08,8.125121139383986e-08,5.0355296630281476e-08,4.952723428347843e-08,5.806047391867466e-08,4.2239131448061514e-08,8.624281527454003e-08,4.9863152132764484e-08,5.027616292057783e-08,7.630587739195867e-08,5.594961512076539e-08,1.270841672050773e-07,7.574059238259506e-08,6.729468856780838e-08,5.560859972753884e-08,5.7336347138923706e-08,8.047498813364096e-08
6,2,3-back,7.239715624891201e-08,5.183049144616644e-08,9.353927302727269e-08,6.368253148445629e-08,5.993184694863317e-08,6.162410660473324e-08,4.789556765691839e-08,9.12342399578248e-08,6.0441339093963e-08,5.525799403512144e-08,9.091136026142029e-08,6.629437074191063e-08,1.3442643150020254e-07,8.632846572533232e-08,8.238258713071853e-08,6.827625983108812e-08,6.329064946971217e-08,9.206864307191685e-08
7,2,4-back,1.6726535786014627e-07,1.127013960662072e-07,1.7664274636017504e-07,1.2852845008720666e-07,1.2310374989087948e-07,1.1670645848278103e-07,7.387083004984497e-08,1.4628221663667557e-07,9.670975334174685e-08,8.677638144157196e-08,1.59887706393839e-07,9.460080470442795e-08,2.2075508152459739e-07,1.218378075491711e-07,1.1050413460937864e-07,1.4164834005292295e-07,1.0406912799052408e-07,1.415171069562828e-07
8,3,1-back,7.98784357301523e-08,7.750640344948694e-08,1.4493104037495624e-07,1.2513865625215032e-07,7.553875412005067e-08,7.847492985439266e-08,6.853260701419418e-08,1.4458017993376166e-07,1.173018502354537e-07,7.149047841308193e-08,1.2174157649211161e-07,1.2769944295392837e-07,2.0157580148471982e-07,2.0874437040687969e-07,1.1820381497212325e-07,1.0059865798535929e-07,9.607600909017682e-08,1.5559300126195255e-07
9,3,2-back,1.2877738783208701e-07,1.6077588801903656e-07,2.1578045842852091e-07,1.7417670023335822e-07,1.1803852077443776e-07,1.148830448361936e-07,1.3039066947943286e-07,1.7697757069620138e-07,1.694739206756671e-07,1.0579292829693972e-07,1.5363692659905424e-07,1.7060697975692618e-07,2.695854710121796e-07,2.25298088965794e-07,1.549545367379821e-07,1.5950979105748809e-07,1.3950362679688695e-07,1.9481640061438723e-07
10,3,3-back,1.1528069162444638e-07,3.159693512689062e-07,2.702195369223574e-07,2.5285628072706117e-07,1.0973216805914521e-07,1.169531607312506e-07,1.1030039531295439e-07,1.456782250918402e-07,1.7816885786409145e-07,1.0793842051409933e-07,1.6391509525039755e-07,1.5601575777780273e-07,2.0419731259505836e-07,2.3695998715554204e-07,1.4046591059418586e-07,2.1281160572038327e-07,1.318078119028472e-07,1.8031081267459733e-07
11,3,4-back,1.569824359636231e-07,2.68308324668915e-07,3.755016199272785e-07,3.5158753971267855e-07,1.4583146670231835e-07,1.3969040185247418e-07,1.2804207461490418e-07,2.115574135542052e-07,1.8825312319724272e-07,1.3118327854654866e-07,1.8130070559287143e-07,1.6105241524427e-07,2.951015450460456e-07,2.9943800002268607e-07,1.6534798668826597e-07,2.596422773949627e-07,1.5974525835307498e-07,2.2044813051882786e-07
