Sample,Condition,Electrode,Epoch,Theta_Power
1,1-back,F3,1,1.618334049653511e-08
1,1-back,F3,2,7.331215091702094e-08
1,1-back,F3,3,1.1866772310426744e-07
1,1-back,F3,4,3.9857146902559144e-08
1,1-back,F3,5,4.1936766369378216e-08
1,1-back,F3,6,1.4204711766760741e-08
1,1-back,F3,7,8.394717880355945e-08
1,1-back,F3,8,1.7034806082948134e-08
1,1-back,F3,9,6.858950712911911e-08
1,1-back,F3,10,3.251955723430961e-08
1,1-back,F3,11,1.1881919426937973e-08
1,1-back,F3,12,1.423326863912942e-08
1,1-back,F3,13,1.557632616834114e-08
1,1-back,F3,14,2.999131461227495e-08
1,1-back,F3,15,6.383419696032765e-09
1,1-back,F3,16,1.4364279837993023e-08
1,1-back,F3,17,9.03121698260204e-08
1,1-back,F3,18,7.823515895537254e-08
1,1-back,F3,19,1.708878869338891e-08
1,1-back,F3,20,8.043515504872638e-08
1,1-back,F3,21,2.480268686022106e-08
1,1-back,F3,22,7.673082122181444e-08
1,1-back,F3,23,3.6178975630308256e-08
1,1-back,F3,24,2.1468041967447952e-08
1,1-back,F3,25,3.851411158715105e-08
1,1-back,F3,26,9.01332749656409e-08
1,1-back,F3,27,2.712937931816754e-08
1,1-back,F3,28,7.060026826000702e-08
1,1-back,F3,29,3.530337523576135e-08
1,1-back,F3,30,1.7515246474991064e-08
1,1-back,F3,31,3.4048082681972134e-08
1,1-back,F3,32,4.58507073551198e-08
1,1-back,F3,33,5.6430451734780605e-08
1,1-back,F3,34,2.1938191160645134e-08
1,1-back,F3,35,1.640492628872635e-08
1,1-back,F3,36,1.5320376594413006e-08
1,1-back,F3,37,1.2006589454909744e-08
1,1-back,F3,38,1.5521514886624507e-08
1,1-back,F3,39,9.455587643048927e-09
1,1-back,F3,40,7.914604003978843e-08
1,1-back,F3,41,2.077933888947481e-08
1,1-back,F3,42,5.233345236952438e-08
1,1-back,F3,43,3.742075302969755e-08
1,1-back,F3,44,2.1087134602251548e-08
1,1-back,F3,45,4.7613943114898164e-08
1,1-back,F3,46,2.4848750644184034e-08
1,1-back,F3,47,3.061832437347648e-08
1,1-back,F3,48,1.1475610404866619e-08
1,1-back,F3,49,1.1282838330706333e-08
1,1-back,F4,1,1.5496705645902888e-08
1,1-back,F4,2,7.388202969221486e-08
1,1-back,F4,3,1.2575682949390218e-07
1,1-back,F4,4,2.655002495227949e-08
1,1-back,F4,5,3.472171444963167e-08
1,1-back,F4,6,1.0365604647464892e-08
1,1-back,F4,7,8.213806991184841e-08
1,1-back,F4,8,1.2540349782370671e-08
1,1-back,F4,9,4.816150423632633e-08
1,1-back,F4,10,3.21663472715044e-08
1,1-back,F4,11,1.105984516383228e-08
1,1-back,F4,12,1.0103056782840793e-08
1,1-back,F4,13,1.2197484742364241e-08
1,1-back,F4,14,3.3982518277953914e-08
