Sample,Condition,Electrode,Epoch,Theta_Power
1,1-back,F3,1,5.5734302323696485e-11
1,1-back,F3,2,2.2148704638737268e-10
1,1-back,F3,3,4.069832593337322e-10
1,1-back,F3,4,1.3630877632369605e-10
1,1-back,F3,5,2.953561485747541e-11
1,1-back,F3,6,2.6335929749523974e-11
1,1-back,F3,7,3.3441768778438785e-10
1,1-back,F3,8,5.216525086200379e-11
1,1-back,F3,9,4.856441741783948e-11
1,1-back,F3,10,1.2689895222390033e-10
1,1-back,F3,11,3.036155138766707e-11
1,1-back,F3,12,7.6986880155021e-11
1,1-back,F3,13,6.161276215122238e-11
1,1-back,F3,14,1.5341161543182938e-10
1,1-back,F3,15,3.110173597833226e-11
1,1-back,F3,16,7.854105796391888e-11
1,1-back,F3,17,7.210907117087446e-11
1,1-back,F3,18,1.132048523890021e-10
1,1-back,F3,19,4.185909478210203e-11
1,1-back,F3,20,2.395851078501407e-10
1,1-back,F3,21,4.6404163948849234e-11
1,1-back,F3,22,1.5028660466619036e-10
1,1-back,F3,23,1.9230865167858975e-10
1,1-back,F3,24,4.3586185590248035e-11
1,1-back,F3,25,2.577157769526337e-10
1,1-back,F3,26,1.5596273569599406e-10
1,1-back,F3,27,1.1411324356452785e-10
1,1-back,F3,28,1.2060537617033596e-10
1,1-back,F3,29,4.106726746813829e-11
1,1-back,F3,30,6.595038765153304e-11
1,1-back,F3,31,8.361086128971586e-11
1,1-back,F3,32,5.35311546104968e-11
1,1-back,F3,33,2.101096970580706e-10
1,1-back,F3,34,1.220663966446444e-10
1,1-back,F3,35,6.430163329360831e-11
1,1-back,F3,36,5.6562394674237976e-11
1,1-back,F3,37,3.676696089910922e-11
1,1-back,F3,38,4.8838534683889734e-11
1,1-back,F3,39,2.452134218421892e-11
1,1-back,F3,40,1.7052259766174812e-10
1,1-back,F3,41,2.713404453778137e-11
1,1-back,F3,42,1.3457335452334923e-10
1,1-back,F3,43,7.097366959486118e-11
1,1-back,F3,44,5.584388432641682e-11
1,1-back,F3,45,9.69436874020099e-11
1,1-back,F3,46,3.083820500122354e-11
1,1-back,F3,47,3.810689198184526e-11
1,1-back,F3,48,3.0499343935698386e-11
1,1-back,F3,49,3.6616249482094165e-11
1,1-back,F4,1,3.1951334979401224e-11
1,1-back,F4,2,2.0133102947648287e-10
1,1-back,F4,3,3.8865527138669685e-10
1,1-back,F4,4,1.2613624336502527e-10
1,1-back,F4,5,2.3182967446680085e-11
1,1-back,F4,6,2.1475644535886464e-11
1,1-back,F4,7,2.8578236665382765e-10
1,1-back,F4,8,2.4638876933731404e-11
1,1-back,F4,9,7.457680575817434e-11
1,1-back,F4,10,1.3128374964740883e-10
