,Metric,Model,RMSE,MAE,R2
0,F3,Linear,1.0621805189939395,0.9153153297482122,0.09741803605581223
1,F3,Quadratic,1.0724153780243615,0.9189815928594613,0.07994020558149273
2,F4,Linear,1.1350045095392556,0.9956088215669039,-0.03058818933955676
3,F4,Quadratic,1.2318500437058055,1.01740104003648,-0.2139636241423959
4,F7,Linear,1.0636671398118671,0.9302188619405709,0.0948897725475536
5,F7,Quadratic,1.0795288057779475,0.9484805148603507,0.06769404599651063
6,F8,Linear,1.0666095783782368,0.9220971308035217,0.08987520584943998
7,F8,Quadratic,1.0748569734535152,0.9230166506561928,0.07574598929467946
8,Fz,Linear,1.062825027335647,0.9239706532483749,0.0963223690151851
9,Fz,Quadratic,1.0674830750694326,0.9222106643198226,0.08838390755224645
10,Frontal_Mean_Relative,Linear,1.0725245232176024,0.9396860496815186,0.07975291767748383
11,Frontal_Mean_Relative,Quadratic,1.0685984076432942,0.9247656315941646,0.086477954545773
