,Sample,Condition,F3_Mean,F4_Mean,F7_Mean,F8_Mean,Fz_Mean,F3_Median,F4_Median,F7_Median,F8_Median,Fz_Median,F3_Q75,F4_Q75,F7_Q75,F8_Q75,Fz_Q75,Frontal_Mean,Frontal_Median,Frontal_Q75
0,1,1-back,1.0035849517746527e-10,9.777610934012543e-11,1.2601966319909019e-10,8.803389995260273e-11,1.0659016207095166e-10,6.595038765153304e-11,6.800702009566205e-11,8.378238911478962e-11,5.135651307540753e-11,7.528757976345825e-11,1.3457335452334923e-10,1.3128374964740883e-10,1.542133510103271e-10,9.017804429835487e-11,1.3243616584020502e-10,1.0375566594804705e-10,6.887677794017008e-11,1.28536933063929e-10
1,1,2-back,1.3044998241915522e-10,1.0709088673098098e-10,1.5518465408505295e-10,1.0062464936281256e-10,1.291966337776136e-10,1.0958543935744583e-10,9.16231142955267e-11,1.206135850332579e-10,8.311396137062224e-11,1.0073265050842076e-10,1.6616212232585084e-10,1.2572033772591263e-10,1.7235869897863035e-10,1.204401940585237e-10,1.5874200643100307e-10,1.2450936127512307e-10,1.011337501130547e-10,1.486846719039841e-10
2,1,3-back,1.1172482767516298e-10,9.575022191386796e-11,1.2514447930243946e-10,1.0169449862346216e-10,1.0734867895648791e-10,9.739539526399272e-11,7.653050925683023e-11,1.0157249329253929e-10,6.890452542836185e-11,9.207545067045287e-11,1.4981199661703296e-10,1.246752261925148e-10,1.6955533745985604e-10,1.3573933041005484e-10,1.3063268009620523e-10,1.0833254129428408e-10,8.72956747824354e-11,1.420829141551328e-10
3,1,4-back,1.7738539256418766e-10,1.5576258480883735e-10,2.157281854694033e-10,1.6765615313504562e-10,1.668757805460248e-10,1.2192452637915968e-10,1.061667280013958e-10,1.3355436013081107e-10,1.0518251312362795e-10,1.191608903476103e-10,2.2953871775206842e-10,1.800714090914728e-10,2.8032412144880423e-10,2.3961915573105696e-10,2.241397386341485e-10,1.7668161930469972e-10,1.1719780359652096e-10,2.3073862853151018e-10
4,2,1-back,1.061498711363035e-10,9.4168953363253e-11,1.3412446233127477e-10,9.573884152046157e-11,9.945020915293192e-11,6.614231180073765e-11,6.503038685660925e-11,5.897259562679346e-11,5.64739192408274e-11,7.070653548321121e-11,1.0847826887454596e-10,1.0214443558378695e-10,1.2336900434090623e-10,1.0612874804618878e-10,1.0887262621306446e-10,1.0592646750084496e-10,6.34651498016358e-11,1.0979861661169849e-10
5,2,2-back,1.3392579211344402e-10,1.148880142705584e-10,1.589231155018984e-10,1.1143065888880176e-10,1.2838319863029325e-10,1.2632217266540758e-10,8.996377582261723e-11,1.0502756411675963e-10,8.101634524401192e-11,1.1245642163095904e-10,1.6832461822893837e-10,1.4999055505374405e-10,1.8808846907089673e-10,1.4514725836363133e-10,1.6825569516923464e-10,1.2951015588099917e-10,1.0295725589595109e-10,1.6396131917728901e-10
6,2,3-back,1.5588837617131237e-10,1.1599176332686087e-10,1.6661211691362997e-10,1.2081664967054287e-10,1.3206475632989652e-10,1.2394931440568404e-10,9.115093693896168e-11,9.713345212947551e-11,8.98172605985788e-11,1.1413902280940893e-10,1.8202029177108583e-10,1.5251227012503528e-10,2.292186373860001e-10,1.5963468454876106e-10,1.7941013524193227e-10,1.3827473248244854e-10,1.032379973764218e-10,1.805592038145629e-10
7,2,4-back,4.349499921159689e-10,3.203008882730365e-10,5.391125927076601e-10,3.9276311438873733e-10,3.6958124172635284e-10,3.0234107811627536e-10,1.9792407099657455e-10,4.2493386085134807e-10,2.690012219594099e-10,2.499978078962103e-10,5.297859217859166e-10,3.32534505468156e-10,7.031894817429877e-10,4.832645524433102e-10,3.905910641213445e-10,4.1134156584235115e-10,2.888396079639636e-10,4.878731051123429e-10
8,3,1-back,1.373415960000392e-10,1.3795527485594738e-10,2.331014210205884e-10,1.86603016959458e-10,1.3923919316622863e-10,1.0630513662537752e-10,1.1518206561952507e-10,1.3914026053810631e-10,8.273313289611793e-11,1.071029986409869e-10,1.9916803939135513e-10,1.6907666399687402e-10,2.6574424592888644e-10,2.190063869576942e-10,1.9133391446391287e-10,1.6684810040045229e-10,1.1009271886402276e-10,2.088658501477445e-10
9,3,2-back,2.110803884630861e-10,2.2541922367225096e-10,3.331067291404713e-10,2.8454718938688614e-10,2.0143074037149734e-10,1.5336524345405912e-10,1.881106945375389e-10,2.0557472481429816e-10,1.606882850759843e-10,1.3226418273185364e-10,2.372276897304227e-10,2.7871112262285457e-10,4.942181175845636e-10,3.4304608724383686e-10,2.656070030657318e-10,2.511168542068384e-10,1.6800062612274683e-10,3.237620040494819e-10
